"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2022","359.20","364.86","367.71","358.88","48.99M","-1.50%"
"03/30/2022","364.66","363.72","371.32","361.33","59.87M","-0.51%"
"03/29/2022","366.52","369.33","371.59","357.70","73.62M","0.71%"
"03/28/2022","363.95","355.03","365.96","351.20","102.51M","8.03%"
"03/25/2022","336.88","336.00","340.60","332.44","62.03M","-0.32%"
"03/24/2022","337.97","336.58","341.50","329.60","68.92M","1.48%"
"03/23/2022","333.04","326.65","346.90","325.47","120.68M","0.52%"
"03/22/2022","331.33","310.00","332.62","307.25","105.87M","7.91%"
"03/21/2022","307.05","304.99","314.28","302.36","81.98M","1.74%"
"03/18/2022","301.80","291.50","302.62","289.13","100.41M","3.88%"
"03/17/2022","290.53","277.00","291.67","275.24","66.58M","3.73%"
"03/16/2022","280.08","269.67","280.67","267.42","84.03M","4.78%"
"03/15/2022","267.30","258.42","268.52","252.19","66.84M","4.63%"
"03/14/2022","255.46","260.20","266.90","252.01","71.15M","-3.64%"
"03/11/2022","265.12","280.07","281.27","264.59","67.04M","-5.12%"
"03/10/2022","279.43","283.82","284.82","270.12","58.65M","-2.41%"
"03/09/2022","286.32","279.83","286.85","277.34","59.18M","4.19%"
"03/08/2022","274.80","265.18","283.33","260.72","80.40M","2.46%"
"03/07/2022","268.19","285.43","288.71","268.19","72.49M","-4.02%"
"03/04/2022","279.43","283.03","285.22","275.05","67.18M","-0.12%"
"03/03/2022","279.76","292.92","295.48","277.53","61.62M","-4.61%"
"03/02/2022","293.30","290.71","295.49","281.42","74.64M","1.80%"
"03/01/2022","288.12","289.89","296.63","284.59","74.77M","-0.70%"
"02/28/2022","290.14","271.67","292.29","271.57","99.01M","7.48%"
"02/25/2022","269.96","269.74","273.17","260.80","76.07M","1.14%"
"02/24/2022","266.92","233.46","267.49","233.33","135.32M","4.81%"
"02/23/2022","254.68","276.81","278.43","253.52","95.26M","-7.00%"
"02/22/2022","273.84","278.04","285.58","267.03","83.29M","-4.14%"
"02/18/2022","285.66","295.33","295.62","279.20","68.50M","-2.21%"
"02/17/2022","292.12","304.42","306.17","291.37","55.18M","-5.09%"
"02/16/2022","307.80","304.68","308.81","300.40","51.29M","0.10%"
"02/15/2022","307.48","300.00","307.67","297.79","57.65M","5.33%"
"02/14/2022","291.92","287.19","299.63","284.38","67.76M","1.83%"
"02/11/2022","286.67","303.21","305.32","283.57","79.65M","-4.93%"
"02/10/2022","301.52","302.79","314.60","298.90","66.13M","-2.95%"
"02/09/2022","310.67","311.67","315.42","306.67","52.26M","1.08%"
"02/08/2022","307.33","301.84","308.76","298.27","50.73M","1.62%"
"02/07/2022","302.45","307.93","315.92","300.90","61.00M","-1.73%"
"02/04/2022","307.77","299.07","312.17","293.72","73.63M","3.61%"
"02/03/2022","297.05","294.00","312.33","293.51","78.86M","-1.60%"
"02/02/2022","301.89","309.39","310.50","296.47","66.79M","-2.75%"
"02/01/2022","310.42","311.74","314.57","301.67","73.14M","-0.58%"
"01/31/2022","312.24","290.90","312.66","287.35","104.44M","10.68%"
"01/28/2022","282.12","277.19","285.83","264.00","134.79M","2.08%"
"01/27/2022","276.37","311.12","311.80","276.33","147.11M","-11.55%"
"01/26/2022","312.47","317.48","329.23","302.00","104.87M","2.07%"
"01/25/2022","306.13","304.73","317.09","301.07","86.60M","-1.25%"
"01/24/2022","310.00","301.59","311.17","283.82","152.38M","-1.47%"
"01/21/2022","314.63","332.11","334.85","313.50","103.42M","-5.26%"
"01/20/2022","332.09","336.58","347.22","331.33","70.49M","0.06%"
"01/19/2022","331.88","347.23","351.56","331.67","75.44M","-3.38%"
"01/18/2022","343.50","342.20","356.93","338.69","66.99M","-1.82%"
"01/14/2022","349.87","339.96","350.67","337.79","72.92M","1.75%"
"01/13/2022","343.85","369.69","371.87","342.18","97.21M","-6.75%"
"01/12/2022","368.74","359.62","371.61","357.53","83.74M","3.93%"
"01/11/2022","354.80","351.22","358.62","346.27","66.06M","0.59%"
"01/10/2022","352.71","333.33","353.03","326.67","91.82M","3.03%"
"01/07/2022","342.32","360.12","360.31","336.67","84.17M","-3.54%"
"01/06/2022","354.90","359.00","362.67","340.17","90.34M","-2.15%"
"01/05/2022","362.71","382.22","390.11","360.34","80.12M","-5.35%"
"01/04/2022","383.20","396.52","402.67","374.35","100.25M","-4.18%"
"01/03/2022","399.93","382.58","400.36","378.68","104.69M","13.53%"
"12/31/2021","352.26","357.81","360.67","351.53","40.73M","-1.27%"
"12/30/2021","356.78","353.78","365.18","351.05","47.04M","-1.46%"
"12/29/2021","362.06","366.21","368.00","354.71","56.15M","-0.21%"
"12/28/2021","362.82","369.83","373.00","359.47","60.32M","-0.50%"
"12/27/2021","364.65","357.89","372.33","356.90","71.15M","2.52%"
"12/23/2021","355.67","335.60","357.66","332.52","92.71M","5.76%"
"12/22/2021","336.29","321.89","338.55","319.02","93.63M","7.49%"
"12/21/2021","312.84","305.62","313.17","295.37","71.52M","4.29%"
"12/20/2021","299.98","303.57","307.23","297.80","56.48M","-3.50%"
"12/17/2021","310.86","304.92","320.22","303.01","100.88M","0.61%"
"12/16/2021","308.97","331.50","331.66","307.28","82.77M","-5.03%"
"12/15/2021","325.33","317.74","326.25","309.42","75.17M","1.82%"
"12/14/2021","319.50","315.00","322.14","310.00","70.81M","-0.82%"
"12/13/2021","322.14","333.70","335.00","317.14","78.60M","-4.98%"
"12/10/2021","339.01","336.25","340.33","327.51","59.66M","1.32%"
"12/09/2021","334.60","353.55","354.16","334.12","59.44M","-6.10%"
"12/08/2021","356.32","350.90","357.46","344.33","41.91M","1.64%"
"12/07/2021","350.58","348.07","352.56","342.27","56.09M","4.24%"
"12/06/2021","336.34","333.84","340.55","316.83","81.66M","-0.59%"
"12/03/2021","338.32","361.60","363.52","333.40","92.32M","-6.42%"
"12/02/2021","361.53","366.35","371.00","352.22","73.12M","-0.95%"
"12/01/2021","365.00","386.90","390.95","363.59","68.80M","-4.35%"
"11/30/2021","381.59","381.46","389.33","372.67","81.28M","0.68%"
